,ITA,CoV_700,CoV_800,CoV_930,CoV_1080
0,70.37,28.126350576948372,32.439483173116706,46.330665403832,26.30806836267785
1,56.25599999999999,9.985206780521132,9.244188639882747,7.662561394803136,1.944450336471431
2,49.412,10.969416448705132,8.122065012540686,27.73101710175664,6.175249950064349
3,41.098,4.0339570811307395,0.8712114565113017,10.108204651441948,2.466833078893097
4,51.318000000000005,14.519404767619154,18.59704228378031,23.030465484133313,17.780882014603495
5,52.443999999999996,0.9140192656327903,3.328769819196039,32.79933949945217,8.266474849912314
6,42.734,9.916192799646643,8.772622892008314,23.20932938704539,8.927705491345051
7,-15.498,3.242090314782443,5.937316708874931,24.771987426433014,8.281421005853879
8,9.376,19.958541859692282,17.497742740185704,13.059426796054005,9.101751645049024
9,42.734,25.672371428022533,25.474476154926617,24.078688004155858,9.580654322582003
10,14.658000000000001,28.20066886295198,27.58437696269267,53.274260562162624,25.626768412516338
11,67.998,39.21738220158232,36.402058780011195,26.29426420110666,31.241323735341993
12,3.802000000000001,36.00886605036748,57.58686033981035,35.90496751921239,26.750012131130685
13,32.224000000000004,14.179215207060853,14.269072093336499,13.700584273129973,1.700194735144174
14,50.339999999999996,26.72490205759153,24.747517681719273,5.614447685602519,26.104565791191707
15,17.034,23.585533205404165,17.173562061681274,37.47407277286528,29.288876628622678
16,20.59,21.637338621658934,20.023124597268414,7.703362761772705,7.404119318401333
17,-31.844000000000005,10.02603262999029,8.008517349733484,7.504198708134126,9.75474616364497
18,61.157999999999994,28.16539962113541,29.065158274550264,25.555671232701343,15.949563834199939
19,50.612,24.681554855196968,24.771527255426566,8.745003336601062,6.4619484007493995
20,12.538000000000002,10.28501792016269,14.118261631389794,19.414031794298534,7.29643346974993
21,54.60799999999998,8.520596842726635,13.18627443249117,12.183753149968407,1.056851007388667
22,50.79999999999999,2.2794497168481254,6.43513800731659,1.4706071301626815,0.4414653704734214
23,25.374000000000006,20.133392554247962,31.55405159947293,51.31478700703771,28.172175162131406
24,24.27,17.394903310531234,21.415460672628114,21.096492031061782,16.360631706666968
25,-26.653999999999996,20.036902315171726,19.600518401650753,35.75969403058164,16.00668444946635
26,-29.47,12.202349214867061,16.896743313610116,20.07323462367943,14.63656336302167
27,-1.302,2.8724261954299717,11.296669442591392,16.33783119460816,1.679478378772328
28,-39.70666666666667,4.976368409378005,6.524763204719319,4.444270323292842,8.406736431660775
29,-63.59,16.336495866061753,20.286502927980703,22.11331997175,12.534278599830714
30,-21.659999999999997,8.238732464986338,7.553184604763138,15.263660780263777,9.260041665218811
31,-27.86,32.64061895648172,32.715307775688814,60.51811439208342,55.20192747104914
32,-29.898000000000007,28.810966802350794,26.215739385948527,7.853095093699788,9.919261040086404
33,-13.662,26.15666611625267,25.92490776745447,31.061165372746384,23.438501157413043
