,Wavelengths (nm),Fitzpatrick 1,Fitzpatrick 2,Fitzpatrick 3,Fitzpatrick 4,Fitzpatrick 5,Fitzpatrick 6,Vitiligo
0,700.0,0.012402321863969867,0.019284216706769223,0.029700452048149462,0.06505597682839064,0.0965436945317051,0.13949534645775657,0.016392158400823153
1,730.0,0.010066498889219158,0.015764556328296882,0.023080569035233593,0.0529232744085408,0.08276265489651184,0.12010660273998154,0.014300894865713275
2,760.0,0.009789666788563205,0.014183853978064681,0.01940962545752253,0.04481371325504407,0.07086095433070093,0.10990305228322705,0.012641691794926961
3,800.0,0.006744281451726771,0.01052176189909086,0.013529196334093767,0.032961676773496214,0.05558302392829462,0.0944886806287276,0.00980911756418828
4,850.0,0.00629585674634416,0.00905128541921923,0.010328158782212596,0.02291996072362153,0.03924929821521271,0.07576820762817797,0.008978139973537766
5,910.0,0.014927232047825437,0.015196480154062381,0.015970178145671237,0.024130591106196045,0.030773997931049766,0.05556209704949213,0.013109222801848758
6,930.0,0.02348564914504624,0.022454947444139735,0.023156552009721984,0.030329347635155116,0.03427995150215172,0.05501962762585579,0.019097273328177206
7,950.0,0.015319365356997213,0.016949154277807507,0.01654894874599806,0.02079260022919922,0.0264113605920331,0.04318394363587352,0.018837541043849455
8,980.0,0.017367407147237415,0.019105163859535014,0.018438435223490115,0.02015805582092034,0.025984813407761695,0.03593924443025199,0.024032537313822905
9,1030.0,0.012688846413004308,0.013383084707166431,0.013444051673688636,0.01598177810752393,0.018373169674574776,0.02621689169581959,0.014871610909225995
10,1080.0,0.008037204900311094,0.008633770242433019,0.008683049941662411,0.010516841009280747,0.0125702904264326,0.01865597774736784,0.01022840845355624
11,1100.0,0.008789033633518314,0.00947068868276403,0.009433287786468065,0.010601901259374642,0.012501376266710247,0.01706858320420392,0.011692745091853564
