,SkinID,ROI ID,680 nm,690 nm,700 nm,710 nm,720 nm,730 nm,740 nm,750 nm,760 nm,770 nm,780 nm,790 nm,800 nm,810 nm,820 nm,830 nm,840 nm,850 nm,860 nm,870 nm,880 nm,890 nm,900 nm,910 nm,920 nm,930 nm,940 nm,950 nm,960 nm,970 nm,980 nm,990 nm,1000 nm,1010 nm,1020 nm,1030 nm,1040 nm,1050 nm,1060 nm,1070 nm,1080 nm,1090 nm,1100 nm
0,SKIN01,0,0.06048662572340277,0.05560907272032409,0.05857368821815406,0.0577289602422461,0.05750740310769323,0.056401534778402346,0.05149034961493982,0.04643853308701279,0.041740841663338024,0.04173410116608478,0.04277481133313751,0.04187702810910279,0.037870724958161336,0.031243613879300604,0.025049048894481712,0.01978358552933395,0.01602596450187571,0.01250207591371704,0.009401124631531175,0.00669851394260811,0.005068741204051117,0.0032148288404332337,0.0016249037529353038,0.0012688331806632153,0.0011926394136470655,0.0015165570654051238,0.0009483502038096405,0.0012023219196135738,0.0010612704042262703,0.0012576100410244334,0.0013424706202888926,,,,,,,,,,,,
1,SKIN01,1,0.016797965567037484,0.015063881564614382,0.015401339337227872,0.01493622505275015,0.014942886973670265,0.014718655721660706,0.013110954952765385,0.01132568994420672,0.009749670242402569,0.009831955298141265,0.01007995771265798,0.00964582560504974,0.008543516378782076,0.007085659228123808,0.005167063236016514,0.004148515793499673,0.0036806714839634443,0.0033313542548742358,0.003321862660059504,0.0031903721791664394,0.003371969027426234,0.0033799481196277402,0.0029644253125162188,0.0018826819437119029,0.0017619092663031142,0.0017283522996189237,0.0015386065555378125,0.0025287237745210607,0.00296277276342352,0.0030804349004816484,0.003020311226268634,,,,,,,,,,,,
2,SKIN01,2,0.04338967562024024,0.03941856365513727,0.04059850481632013,0.03961215263763127,0.039584870138617785,0.03919903315660362,0.0354473496674511,0.03163053501699449,0.027700999619627766,0.027062443497538717,0.027323789405178125,0.026100319416398197,0.02317874654350909,0.018709748031460922,0.014151203973500458,0.010596006227997308,0.008150123725072234,0.005946347090459379,0.004341702459494928,0.003486364682461816,0.003083131210900216,0.002978353423391238,0.002849225677405376,0.00541677440625615,0.005344026393982898,0.005177253935177497,0.005273321716216116,0.0040344888166757836,0.0037571724317132537,0.004001555072924608,0.003738295753501698,,,,,,,,,,,,
3,SKIN01,3,0.07145629315369077,0.06833765478380796,0.07323006012470594,0.07276377441927086,0.07074475272242803,0.06830958171352097,0.06416986852041814,0.062194911000230516,0.059839964908571054,0.061922849415800736,0.06353639840928664,0.06364533843631495,0.06290201377986707,0.05940166387773392,0.05783628054953718,0.05666754651815183,0.05783387938117738,0.05656839419531541,0.0538016114272523,0.04917156569148984,0.04557525261531864,0.03910892490166515,0.030537826210433678,0.022912007968631545,0.01923278171095012,0.01589645962202767,0.021014224482498886,0.02908208791614107,0.028626158890650927,0.0318818904811754,0.030857936923499297,,,,,,,,,,,,
4,SKIN02,0,0.06539011529488589,0.060398268959904106,0.06346269418581545,0.06418839420967254,0.06214390739662423,0.060922208944262944,0.05569166293330725,0.04992675007025349,0.04544336474502852,0.044730137215634826,0.046899583976384655,0.04497377600139356,0.041234462890336325,0.033571675723102636,0.027526835746622798,0.021876463745782622,0.016189776122515008,0.013043191656609375,0.009955531066347351,0.0072330435970297795,0.0051242687041720995,0.0035452033113436868,0.002068910577285519,0.001192111935254106,0.001398785065584852,0.0013244436414322277,0.0013531158362998042,0.0010984571431405692,0.001484635878578489,0.0013712934668524924,0.0013615373287039342,,,,,,,,,,,,
5,SKIN02,1,0.017505579065216336,0.015354566813196083,0.015588068351642753,0.015760883203611145,0.015435008984639854,0.015221886409750727,0.013675937773600965,0.01175371985357068,0.010211831069634223,0.009700265443058529,0.01032837410047119,0.009590712340851789,0.008679622034160051,0.006606137377902769,0.005348615784039928,0.00411993774044103,0.0031654674549082404,0.0031769657475873014,0.0031874352731056815,0.00330345179934715,0.0033525076084558467,0.0031335200924963113,0.002936431002201842,0.0018684330549745749,0.001422104486323728,0.0018919408396227163,0.001682064887108747,0.002384425815721372,0.00279031901837411,0.0030509446238892756,0.0028477359970186453,,,,,,,,,,,,
6,SKIN02,2,0.046441682048199644,0.04163188346174677,0.043438609663196126,0.04363915696379512,0.04252611614787865,0.04189394070125005,0.03817663290555413,0.03351188656641563,0.029755527880096316,0.028805843632567277,0.029688170860145125,0.028096484505087546,0.025064872666261246,0.019696208894729693,0.015713670567219982,0.011881337680369709,0.008215547164832186,0.006476711047980807,0.004650667742908195,0.0034518728037422983,0.0029657896024444077,0.002819517509094353,0.0035068064645942033,0.004791242090175416,0.0051319053816726344,0.004624575800975534,0.004816570599686815,0.004457430403525721,0.004434865516710834,0.004233743217641084,0.0035952814739071037,,,,,,,,,,,,
7,SKIN02,3,0.07588814447562459,0.07245293769423103,0.0790792289253717,0.07970980745684751,0.07598753587579497,0.07311104260922946,0.06899676513046264,0.06635816860032236,0.0642685174503489,0.0658437736806402,0.0690955624170279,0.06814398421260437,0.06754174763595926,0.06365003166495395,0.06286100816344839,0.06257716417081034,0.059441325706084805,0.06132252333708143,0.05831591243757037,0.05289938613074659,0.04857341117312783,0.04325506148011119,0.03452297238205752,0.024791659776206083,0.02047405362114055,0.01764963102401897,0.02358731754153257,0.03045894224009498,0.030498461152950063,0.0343002884746481,0.03145262232400704,,,,,,,,,,,,
8,SKIN03,0,0.06828724645332754,0.06841058372028065,0.0643283613472278,0.060897227953989566,0.06127166254254642,0.059930903277721284,0.05647366953005609,0.049543559151794495,0.04546211914631223,0.04516041176311938,0.046344351385876205,0.04472259391396569,0.041127017793508275,0.033749564050782756,0.027088330428869392,0.021940268522185384,0.017209101646239556,0.013235744229449033,0.010005787725609163,0.00740596325076645,0.005075067770794402,0.003563206908554807,0.0016958035698291403,0.0013209059150519067,0.0014568805251677433,0.0011961377895814414,0.0012861203991585389,0.0013248663563852734,0.0014532408659865667,0.0013268980421420951,0.001614297063229933,,,,,,,,,,,,
9,SKIN03,1,0.018893140571224692,0.018292494215085227,0.01676083438673888,0.015678345460393785,0.015682716243971107,0.01542172639917726,0.014246528800096808,0.012036944442512383,0.010538730624119386,0.010264020336588414,0.010627146303944535,0.00987326936301895,0.008952952146836871,0.007152667266255421,0.005474968291550292,0.004181241969843369,0.0033903106128846117,0.0028923096419927767,0.00288666878013872,0.0028860757287044346,0.0031520709303362723,0.0028970330831438584,0.0025236714365737887,0.0016930397305498714,0.0016860293793035594,0.0014012918066017557,0.0016795338183835762,0.002377381487956191,0.002500102615955906,0.002534442959233708,0.0026368217288941925,,,,,,,,,,,,
