,x/mm,lowmelanin_700,lowmelanin_800,lowmelanin_1080,highmelanin_700,highmelanin_800,highmelanin_1080
0,2.0,-0.010104359049360332,-0.025889890867923485,-0.0237000631688388,0.03937205536483082,-0.005768733850834387,-0.020735024440775504
1,1.9595959595959598,-0.010387345717540417,-0.026723623692353825,-0.024887479768968566,0.02693966457493126,-0.012532625949287722,-0.022224931595462825
2,1.9191919191919193,-0.010935565851178844,-0.027401592802147035,-0.025537128739785947,0.019089991811733438,-0.015917449542076828,-0.02342025656738119
3,1.8787878787878791,-0.011483785984817264,-0.02807956191194024,-0.026186777710603324,0.023468749614503022,-0.0102856362049038,-0.023829524499138638
4,1.8383838383838382,-0.012148876793746826,-0.02896574237084047,-0.02711833064880862,0.027847507417272634,-0.004653822867730743,-0.024238792430896078
5,1.797979797979798,-0.012880077763921017,-0.029969701612383447,-0.028209348026601445,0.022996201721017226,-0.005642443623528365,-0.023938187672808156
6,1.7575757575757578,-0.013630166550181249,-0.03093722460942861,-0.029166916157675197,0.015711958102569656,-0.008376134190369389,-0.02345046868877414
7,1.7171717171717173,-0.014481289060815021,-0.03170984474067771,-0.02941064451238467,0.007216617448801343,-0.013571105688670265,-0.023531404185482663
8,1.6767676767676767,-0.015332411571448787,-0.03248246487192679,-0.029654372867094134,-0.003971948447893875,-0.024239448635516556,-0.024876907720402727
9,1.6363636363636362,-0.016034402060729838,-0.032931701180051,-0.029986411498734603,-0.015160514344589154,-0.0349077915823629,-0.026222411255322802
10,1.595959595959596,-0.016665012423527484,-0.03322615397496349,-0.030360718710120336,-0.017473612326103713,-0.03446834608461851,-0.026372415060250023
11,1.5555555555555556,-0.017331475968989016,-0.033636319907694445,-0.030668272601858722,-0.017955826954487143,-0.031737521118472355,-0.02627580419931012
12,1.5151515151515154,-0.01814585887017726,-0.03452388314586641,-0.030700422546131107,-0.01901280525542705,-0.028974850668605508,-0.026018363777918017
13,1.4747474747474747,-0.01896024177136551,-0.03541144638403837,-0.030732572490403492,-0.021147646853101765,-0.026152459885481316,-0.025459317168594148
14,1.4343434343434343,-0.020103036777841515,-0.036137235459530626,-0.030857918258925275,-0.023282488450776472,-0.023330069102357145,-0.02490027055927028
15,1.393939393939394,-0.02137744992208022,-0.03679819009778018,-0.03102061423664297,-0.02059273469598296,-0.0220960632801688,-0.023856798386019513
16,1.3535353535353536,-0.022657487114543004,-0.03746860175506245,-0.03120662186171968,-0.017160210231102244,-0.021106597308296098,-0.02273874646176054
17,1.3131313131313134,-0.02395607002254261,-0.038170198632993466,-0.03146950137042718,-0.013549313299463106,-0.020074233504882185,-0.021420421820174618
18,1.2727272727272725,-0.025254652930542215,-0.0388717955109245,-0.03173238087913468,-0.009653942834084283,-0.018973455007485134,-0.01978269649615708
19,1.2323232323232323,-0.02510668087044163,-0.03807140590886941,-0.030913689784522403,-0.0057585723687054845,-0.017872676510088087,-0.018144971172139552
20,1.191919191919192,-0.02448033878844483,-0.036774315302591565,-0.029737327557736084,-0.0049156912413010866,-0.01931598369606554,-0.018474870480293122
21,1.1515151515151516,-0.02401406083968268,-0.03593404262892889,-0.029090335531768145,-0.004396300236264199,-0.021028902499941184,-0.01901329046208702
22,1.1111111111111114,-0.023979927278176535,-0.03632709625759363,-0.0298725478905757,-0.005726335890858402,-0.022869387838399664,-0.019431816267789108
23,1.0707070707070705,-0.02394579371667039,-0.03672014988625837,-0.030654760249383253,-0.009579361295836735,-0.024883899574481675,-0.019686782315208744
24,1.0303030303030303,-0.023414659711100204,-0.03788415281340992,-0.031178102303825367,-0.013432386700815048,-0.026898411310563673,-0.01994174836262838
25,0.98989898989899,-0.02275067848395574,-0.039254228941303745,-0.03163224884527795,-0.016223276283903625,-0.021219017548024518,-0.01881449271211558
26,0.9494949494949496,-0.02196936881287128,-0.039496262809316326,-0.030674636261354516,-0.01894849703676507,-0.015063931540143526,-0.01760177823407137
27,0.9090909090909093,-0.02092429936960234,-0.037202405468945356,-0.02654332382440157,-0.016559623453717726,-0.006851251652779734,-0.01385494557802531
28,0.8686868686868685,-0.0198792299263334,-0.03490854812857439,-0.02241201138744862,-0.00818100356584373,0.0037713300719299215,-0.007140094736217043
29,0.8282828282828283,-0.016192291325189703,-0.027967080663182365,-0.016197371553193732,0.0001976163220303547,0.014393911796639694,-0.0004252438944087029
30,0.787878787878788,-0.011951442230823913,-0.02005116674991049,-0.009545928517409036,0.009610664292422463,0.021347949856563183,0.006346847123534678
31,0.7474747474747476,-0.007683943007337958,-0.012521169003179804,-0.003383777291504578,0.019045505431072036,0.02822469961515645,0.013120144068512281
32,0.7070707070707073,-0.0033659525596358097,-0.005722326426679347,0.001851363698597699,0.024501951505968025,0.033012824633109325,0.01782948507960627
33,0.6666666666666665,0.0009520378880663372,0.0010765161498211084,0.007086504688699974,0.02595067502633074,0.03569692821857957,0.02045965531574365
34,0.6262626262626262,0.004879357966968869,0.006335659339648927,0.011610256758057432,0.027291904000534183,0.038294554724018486,0.023087874346334032
35,0.5858585858585859,0.00874532403754848,0.011352995787708885,0.016022286605178498,0.022402818861255093,0.03588002580890565,0.025603002770078258
36,0.5454545454545456,0.011977376710199886,0.016040797945004927,0.02039840989041032,0.017513733721975996,0.033465496893792815,0.028118131193822487
37,0.5050505050505053,0.014188498802893603,0.020197878341749527,0.0247167049183853,0.019438841577969258,0.03450915763896868,0.030545447259543116
38,0.46464646464646453,0.01639962089558732,0.024354958738494126,0.029034999946360284,0.027268549533575263,0.0385493914232098,0.03289667260427989
39,0.4242424242424242,0.018776382064873844,0.02854727409788378,0.03209144379940107,0.03470637187663634,0.042639996451368185,0.03523571988047845
40,0.38383838383838387,0.021171167525736445,0.03274342360832916,0.035010577218391674,0.035352744042126176,0.04760354445700537,0.03736371897555243
41,0.34343434343434354,0.02357755829023854,0.0365524591352519,0.037608321734018346,0.03599911620761602,0.052567092462642614,0.03949171807062643
42,0.30303030303030326,0.025999932116560997,0.03982835335692546,0.03976344287067834,0.027200218645896727,0.05162306104031971,0.0406543449200494
43,0.2626262626262625,0.028422305942883457,0.04310424757859902,0.04191856400733832,0.01137281420119002,0.04628302358848122,0.04109860949193389
44,0.22222222222222218,0.030021722580320206,0.04583322089239511,0.045387215379246906,-0.004648401475429791,0.04008680001263646,0.041535989511760095
45,0.18181818181818185,0.03156810338879846,0.04852694765373893,0.04894051777046638,-0.022579047798232995,0.02545542018770741,0.04190554283983267
46,0.14141414141414155,0.0333015825566505,0.05196862432952189,0.05246338676472311,-0.0405096941210362,0.010824040362778373,0.04227509616790525
47,0.10101010101010123,0.03525624923821832,0.056294526727606535,0.05595027742421164,-0.043261318090061805,0.004585842846240074,0.043934288197525984
48,0.060606060606060476,0.03721091591978616,0.060620429125691176,0.05943716808370016,-0.03634684338433242,0.003692477592098526,0.046414730413977444
49,0.02020202020202016,0.04027962652264386,0.06541716837850886,0.06183074953907674,-0.026350131229821796,0.005877759228807827,0.04899091830724279
50,-0.02020202020202016,0.04337450461402067,0.07022496699600253,0.06419865053832434,0.004320864970554397,0.028713241038620985,0.05220932580607324
51,-0.060606060606060476,0.046425982853890345,0.07462981622180474,0.06653251414909794,0.03499186117093059,0.05154872284843414,0.05542773330490369
52,-0.10101010101010101,0.049433334300406404,0.07862496670621336,0.06883177024958455,0.053870447060311424,0.07129452029555448,0.05787506898664837
53,-0.14141414141414133,0.05238635341805252,0.0825879941199167,0.07112043030890819,0.06635842569346266,0.08936593915619735,0.05990454122746883
54,-0.18181818181818185,0.05168357085730082,0.08438959060948778,0.07269612580599999,0.07493161991019934,0.10347312992333912,0.06181371304801408
55,-0.22222222222222218,0.050980788296549104,0.08619118709905886,0.07427182130309179,0.0640249541265427,0.097854430307543,0.06312427327321231
56,-0.2626262626262627,0.05176895751460398,0.08833676943830297,0.07553309563084931,0.053118288342886066,0.09223573069174687,0.06443483349841055
57,-0.30303030303030304,0.053861143753054716,0.09078320886033485,0.07651937075191698,0.046452200829739415,0.0875996053625193,0.0639715841888797
58,-0.34343434343434337,0.05589676017178073,0.09317990132048068,0.07771463300304061,0.04172593084304601,0.08341295053013012,0.06269692034940474
59,-0.38383838383838387,0.05690602770709726,0.0946740323258931,0.08270155852309138,0.03830542058815003,0.08005943008393948,0.06186934288934132
60,-0.4242424242424242,0.05791529524241379,0.0961681633313055,0.08768848404314215,0.039950862264805105,0.07993821849995765,0.06277632505169196
61,-0.46464646464646475,0.06067710448611635,0.10393381776735981,0.09645010907994445,0.04159630394146019,0.07981700691597585,0.0636833072140426
62,-0.5050505050505051,0.06475543231683957,0.11641067372624651,0.10804730832901346,0.04186158532157066,0.08148309753195644,0.06733003428255446
63,-0.5454545454545454,0.06918983057735094,0.12910740364654236,0.11836810784746239,0.041600011153679534,0.08383146402731362,0.07202261798636725
64,-0.5858585858585859,0.07723188342293774,0.1440318650453794,0.11575660814831143,0.041879568498777074,0.08863399737220871,0.07739753947866562
65,-0.6262626262626262,0.08527393626852456,0.15895632644421645,0.11314510844916045,0.04384923678297077,0.10110160683854959,0.08490360013546931
66,-0.6666666666666667,0.08650828274358653,0.1567994111051763,0.10070904985109469,0.04581890506716446,0.11356921630489043,0.09240966079227303
67,-0.7070707070707071,0.08336502664899527,0.14365854983322993,0.08195544288346193,0.039874859031829864,0.11213718714593066,0.08869227186993618
68,-0.7474747474747474,0.07891602187258163,0.12910766896425946,0.06411581361263113,0.03144982307898279,0.10634755018182909,0.08145627409703149
69,-0.787878787878788,0.06552567308980957,0.10490143063775377,0.05253480754778962,0.02318287114844851,0.09598890924950938,0.07172005129195216
70,-0.8282828282828283,0.052135324307037496,0.0806951923112481,0.04095380148294812,0.01532218168092832,0.07388831755902593,0.05555846326146849
71,-0.8686868686868687,0.04151378181176595,0.06469870700591338,0.033786927663068275,0.007461492213408128,0.05178772586854248,0.03939687523098482
72,-0.9090909090909091,0.03240803016051055,0.053196674244009874,0.02903658304257479,0.0021203649180538573,0.03595005296543878,0.030158274316491044
73,-0.9494949494949494,0.024078786717974324,0.04266960195652808,0.02436656467471054,-0.00258659745093573,0.021688734666918036,0.02266216488053105
74,-0.98989898989899,0.01967856811161677,0.03707569570036727,0.020102986107525124,-0.0060366704271616,0.010956433587927623,0.01632444076840371
75,-1.0303030303030303,0.01527834950525922,0.03148178944420647,0.015839407540339707,-0.0067875765144395405,0.007802688334393253,0.01247434629873619
76,-1.0707070707070705,0.012412307324892334,0.027274970705692538,0.012454109078347333,-0.007538482601717481,0.00464894308085888,0.008624251829068667
77,-1.1111111111111112,0.010255636183171754,0.023709512176094006,0.009474908937179331,-0.010605072922750097,5.917924177032019e-05,0.005768123843852942
78,-1.1515151515151516,0.00822507643892077,0.020266543958676123,0.006801569579865036,-0.014124248410229245,-0.004811244931352389,0.0031062600334546735
79,-1.191919191919192,0.006690826528157386,0.017305634838707135,0.00533194152660973,-0.0167491111695906,-0.009339732638568025,0.0006424269174096898
80,-1.2323232323232323,0.005156576617394002,0.01434472571873815,0.0038623134733544243,-0.017751270452940407,-0.013247786939932112,-0.0014620854756032342
81,-1.2727272727272725,0.00391226596623823,0.01188018348208856,0.0023308582694346637,-0.018753429736290208,-0.0171558412412962,-0.003566597868616158
82,-1.3131313131313131,0.002779921724811284,0.009607324213481217,0.0007755271540807744,-0.017562560988201276,-0.0181662963862294,-0.0050492180581366685
83,-1.3535353535353536,0.0016699070202280892,0.007346247404048429,-0.0009460757898383344,-0.016055832546281835,-0.018759413143657658,-0.00644226771861026
84,-1.393939393939394,0.0006305218684520793,0.005122439160833109,-0.003193605669823137,-0.01490404710180443,-0.018977582174337215,-0.007585145127453236
85,-1.4343434343434343,-0.00040886328332394127,0.0028986309176177666,-0.005441135549807963,-0.014300709793045898,-0.01861639231299937,-0.008341463269021718
86,-1.4747474747474747,-0.0011929076413869713,0.0007696867066129011,-0.0069929058673000415,-0.013697372484287366,-0.018255202451661522,-0.009097781410590198
87,-1.5151515151515151,-0.0018958777175658464,-0.0013291368441705712,-0.008323762769145183,-0.019610204877226763,-0.023346299675437915,-0.010490754352458673
88,-1.5555555555555556,-0.002792544999065258,-0.003342665219152685,-0.00932449128799228,-0.026154159750577593,-0.028965477214276683,-0.011945390384014097
89,-1.595959595959596,-0.004192763716424283,-0.0051344531298076505,-0.00946699048442062,-0.032021741986920024,-0.03384673873523273,-0.013142550591529623
90,-1.6363636363636362,-0.005592982433783309,-0.006926241040462617,-0.009609489680848958,-0.03699454469503488,-0.037751804428289744,-0.013999093683924385
91,-1.676767676767677,-0.006602665947589634,-0.008013379890259287,-0.010193719464386315,-0.04196734740314974,-0.04165687012134676,-0.014855636776319152
92,-1.7171717171717171,-0.007512631589067083,-0.008920596150624517,-0.010890739167727067,-0.03763270127602638,-0.03910606123888668,-0.015040285238421745
93,-1.7575757575757578,-0.008393287490432541,-0.00997601576999348,-0.011609278370662402,-0.032800878938526165,-0.03621039875444148,-0.015189043089469183
94,-1.797979797979798,-0.00921032321816277,-0.011353127884660008,-0.012374528131095746,-0.028146160868897933,-0.03359867539675566,-0.01561029533093384
95,-1.8383838383838382,-0.010027358945893,-0.012730239999326537,-0.01313977789152909,-0.023692694778667103,-0.031309605535652964,-0.01634119587226779
96,-1.878787878787879,-0.009907843923023837,-0.013361859933268034,-0.012526890992706532,-0.019239228688436184,-0.029020535674550218,-0.01707209641360176
97,-1.9191919191919191,-0.009602177166761977,-0.01384530352803747,-0.011640081375004812,-0.03731511325402132,-0.039243473189352965,-0.018207106704213997
98,-1.9595959595959598,-0.009497666371150704,-0.014571567906276546,-0.010796367809177481,-0.05569038183470133,-0.04963267803526178,-0.01934748705635736
99,-2.0,-0.009761862400672049,-0.01574290823384244,-0.010031646724661496,-0.06493711029341581,-0.05435130118506856,-0.02009524547552296
