,ITA,Sig700,Region,SkinID
0,70.37,0.006663501156692651,Bicep,SKIN01
1,54.196000000000005,0.022951728991493482,Carotid Artery,SKIN01
2,61.702,0.013692823990549706,Leg,SKIN01
3,64.518,0.009070499009508374,Radial Artery,SKIN01
4,56.25599999999999,0.008811086015616216,Bicep,SKIN02
5,38.540000000000006,0.021147362596600848,Carotid Artery,SKIN02
6,54.89,0.016967123553097055,Leg,SKIN02
7,47.056,0.017390887259430523,Radial Artery,SKIN02
8,49.412,0.01012301081448614,Bicep,SKIN03
9,17.108,0.03299690528819434,Carotid Artery,SKIN03
10,31.600000000000005,0.039447994226317666,Leg,SKIN03
11,34.736000000000004,0.027354451528906826,Radial Artery,SKIN03
12,41.098,0.016537613619318402,Bicep,SKIN04
13,30.570000000000007,0.027873112845325662,Carotid Artery,SKIN04
14,38.988,0.03725058644037089,Leg,SKIN04
15,33.892,0.03033032357664127,Radial Artery,SKIN04
16,51.318000000000005,0.014006792318268797,Bicep,SKIN05
17,36.326,0.024859817651195684,Carotid Artery,SKIN05
18,43.262,0.026321838094094243,Leg,SKIN05
19,48.432,0.014689712982136957,Radial Artery,SKIN05
20,52.444,0.007368263557941938,Bicep,SKIN06
21,26.894,0.011320245106155933,Carotid Artery,SKIN06
22,43.756,0.020202930236884093,Leg,SKIN06
23,25.806,0.019226674775302464,Radial Artery,SKIN06
24,42.734,0.019148164960706163,Bicep,SKIN07
25,33.54,0.02185965145487307,Carotid Artery,SKIN07
26,46.194,0.025153975282630088,Leg,SKIN07
27,33.21800000000001,0.02642177407111596,Radial Artery,SKIN07
28,-15.498,0.07110335476772328,Bicep,SKIN08
29,-20.208,0.08197678744988754,Carotid Artery,SKIN08
30,-17.342000000000002,0.08881996377382449,Leg,SKIN08
31,-12.792,0.08104546865848751,Radial Artery,SKIN08
32,9.376,0.049730925684171555,Bicep,SKIN09
33,7.684000000000001,0.0653651840285332,Carotid Artery,SKIN09
34,15.369999999999997,0.06123880642461225,Leg,SKIN09
35,0.3639999999999999,0.07973960789321767,Radial Artery,SKIN09
36,42.734,0.016555837378205176,Bicep,SKIN10
37,38.072,0.019568667619351266,Carotid Artery,SKIN10
38,53.91799999999999,0.018021608334531078,Leg,SKIN10
39,52.706,0.013695264943323284,Radial Artery,SKIN10
40,14.658000000000003,0.03324656615706213,Bicep,SKIN11
41,21.996,0.02032004215911616,Carotid Artery,SKIN11
42,21.324,0.0415872803450362,Leg,SKIN11
43,32.446000000000005,0.03146712350272405,Radial Artery,SKIN11
44,67.998,0.005231053158299771,Bicep,SKIN12
45,42.085,0.006320422862049021,Carotid Artery,SKIN12
46,61.162,0.006305784693788483,Leg,SKIN12
47,64.144,0.007155544374416389,Radial Artery,SKIN12
48,40.146,0.027610148328230624,Bicep,SKIN13
49,3.8020000000000005,0.04893483938454093,Bicep,SKIN14
50,1.09,0.05658486150208332,Carotid Artery,SKIN14
51,-8.574000000000002,0.07912580938872249,Leg,SKIN14
52,1.5059999999999998,0.06437023177261712,Radial Artery,SKIN14
53,32.224000000000004,0.028527372204608936,Bicep,SKIN15
54,23.472,0.042001428584502405,Carotid Artery,SKIN15
55,33.368,0.042379014441553405,Leg,SKIN15
56,16.216000000000005,0.05424619056905721,Radial Artery,SKIN15
57,50.339999999999996,0.013049962622033902,Bicep,SKIN16
58,39.056,0.01731054009668872,Carotid Artery,SKIN16
59,40.074,0.022305563662121754,Leg,SKIN16
60,47.834,0.01502419135722293,Radial Artery,SKIN16
61,17.034,0.04253480043422272,Bicep,SKIN17
62,30.184000000000008,0.03568171580029242,Carotid Artery,SKIN17
63,16.844,0.05610355478627668,Leg,SKIN17
64,29.913999999999994,0.05098570108022217,Radial Artery,SKIN17
65,20.59,0.060384888827453825,Bicep,SKIN18
66,25.35,0.0349315092490156,Carotid Artery,SKIN18
67,16.57,0.06940273526894253,Leg,SKIN18
68,25.036,0.05007754909137749,Radial Artery,SKIN18
69,-31.844,0.09170036603269789,Bicep,SKIN19
70,-59.236000000000004,0.11475414804668799,Carotid Artery,SKIN19
71,-51.720000000000006,0.1394898856925938,Leg,SKIN19
72,-9.44,0.11069059411570502,Radial Artery,SKIN19
