,ITA,CoV_700,CoV_800,CoV_930,CoV_1080
0,64.518,3.5382433656943477,8.788206109715464,11.681164044770012,4.373051245934445
1,47.056000000000004,27.714351403867582,25.49050221700203,25.937554427229315,27.172918716924464
2,34.736000000000004,21.510426989063063,19.64984084806749,10.154098556892945,19.314579811015587
3,33.892,22.998427948344535,15.161617025236424,16.5169406148038,26.20692259269271
4,48.431999999999995,7.822181997773914,8.576174155940583,7.5268930178777715,6.141758552409518
5,25.806,23.900917792478864,24.897843611914553,19.178159321335926,23.92118164350544
6,33.218,14.887244559247781,7.2986240201242145,4.31615034480756,6.550808919549891
7,-12.792,13.534475739726744,15.492510722143377,11.974642324200465,14.741493170339204
8,0.3639999999999999,18.861276430613454,21.715787253586623,26.52432707600836,17.248793411156097
9,52.705999999999996,29.386890611723278,28.25232920408345,24.666313116460557,29.009716960462118
10,32.446,8.787403985933135,14.659097363825316,14.274684842846003,14.213032818180785
11,64.144,45.95032080020351,44.53917310625041,43.17643410114084,45.06235762860493
12,1.5059999999999996,6.798017816114671,4.92334342321609,1.3175195637586896,4.741087811680326
13,16.216,20.477492548678637,23.22965499749275,24.01208806354057,22.4767291372107
14,47.834,29.062908990567475,26.35348800344132,23.74087051813647,20.450459031870125
15,29.913999999999998,22.203430113443414,31.342124817529243,30.87280288975578,29.048604041038008
16,25.036,5.987324475090204,3.2754537708707994,6.923484935375847,7.838083813580396
17,-9.440000000000001,16.79160646318212,14.068986604051931,14.023799238827808,11.17013500223571
18,55.972,29.006284668193928,29.173700360076094,25.34389256558124,23.420373217510505
19,48.472,10.385704118019262,7.264616501599372,8.163287772579862,9.355841284291099
20,-13.534,4.65112384678249,6.524007770275938,2.4346267889011477,5.019332150107251
21,56.33599999999999,25.51758336953391,25.0959170320876,18.355051292432197,27.549653218742048
22,52.589999999999996,14.294521445779013,14.63021503989695,16.000728522573493,14.893039885905338
23,22.1425,15.489151520447841,17.537803986225573,16.543778334220708,18.846050930488843
24,-0.504,16.673539689984704,21.488265371164335,17.21365369500556,21.066125790373565
25,-18.738,14.185785118125185,20.241198279762283,17.286939657406357,19.95313845219295
26,-25.389999999999997,12.955805090464192,11.644747196624968,9.85348498699946,14.230810811477637
27,2.946,11.701098413055016,7.58076802794371,8.211973924457675,5.259882966689195
28,-35.45333333333333,14.184960219496388,7.428341899799761,5.091699004903689,9.628308740187036
29,-42.13,9.116324766902931,8.623536168697541,10.12122465741434,10.078634401150891
30,-39.06666666666666,13.805562654822474,9.606619300025542,3.161288667177647,4.103974806190253
31,-42.056666666666665,5.110736334557436,11.989568708008838,13.140310597075539,16.68122711244651
32,-34.974000000000004,19.06523308256256,15.651718824448244,15.558153184431788,19.15565618718342
33,-3.536,17.48344908499993,25.11508358324221,20.79689198460125,26.461374842235593
