SkinID,ITA,signal700,signal800,signal1080,cnr700,cnr800,cnr1080
SKIN01,64.518,0.021631519509104625,0.02888670571948536,0.01895439821842265,9.977788742753374,12.602060324638865,11.53599066097284
SKIN02,47.056000000000004,0.015455783671617443,0.02027904920591542,0.012800957277833633,8.085718920566231,15.332328675505174,8.724751029255245
SKIN03,34.736000000000004,0.016109552656760562,0.027868374035834864,0.019260077660623914,6.364736344858426,15.863570913283768,12.873107042020104
SKIN04,33.892,0.01007203953905056,0.017548201886797083,0.012575826285395724,2.1419522946570186,4.516451115290418,5.800368871494167
SKIN05,48.431999999999995,0.016078472231231825,0.026406363133981873,0.01486683879766703,6.713642607303838,17.33527624530961,10.472982587114737
SKIN06,25.806,0.017053608184114773,0.024562241560163168,0.017188783332109516,5.147113428533018,9.863119897462575,7.16247093483879
SKIN07,33.218,0.018104530911209255,0.028358426965190836,0.018812777711829303,5.6092525024684905,11.247589116506743,10.256053310219308
SKIN08,-12.792,0.01012035757609586,0.015137502865019184,0.010584633555785107,1.3068994245376626,3.6889718326460543,7.637365941865375
SKIN09,0.3639999999999999,0.01324827493032642,0.034561943086550556,0.024192383910305384,1.6292111815178576,5.569374577687874,9.094851775502162
SKIN10,52.705999999999996,0.025349751036266757,0.03440316566618372,0.024239086149949778,3.629903082756915,3.318781562110033,3.65131640474065
SKIN11,32.446,0.01650237150865119,0.034126899145181584,0.02273792053308275,7.326525037588791,17.205260159047867,13.376509842250757
SKIN12,64.144,0.011946889752255956,0.016371719056220358,0.011141752163189904,5.461028606266729,6.186492502443634,4.492674718457921
SKIN14,1.5059999999999996,0.02276429305633985,0.03660576543032013,0.02452792590201983,3.301379138697867,10.070912391402784,17.058431869955584
SKIN15,16.216,0.016047456253563876,0.029016121550287616,0.019378748945876448,2.8410354523095798,7.879007361287987,11.131134797323982
SKIN16,47.834,0.0055599186594632415,0.009887647259718023,0.0063950809771662,5.242788472381986,7.205115350244806,5.113657374324132
SKIN17,29.913999999999998,0.013124597246014114,0.01871481443771905,0.012897502185150487,3.032376273481301,7.140580826153052,7.758364358186672
SKIN18,25.036,0.024791313967598667,0.04173986434953253,0.03149607124665565,7.215696579502885,17.102110064093,16.81875098977996
SKIN19,-9.440000000000001,0.016980557384090583,0.03226433292024656,0.02041602629381056,0.8306475189946328,4.299429262936252,15.281094876656132
SKIN20,55.972,0.025203878630765897,0.03626571730637681,0.02282634420767972,12.833916673520891,20.444785078191334,9.83451615312538
SKIN21,48.472,0.010133420439771848,0.01379563090702981,0.009866646154940503,3.4172571300217722,8.56803256515335,8.253488194991677
SKIN22,-13.534,0.007507174433277828,0.010012747417758311,0.006809584068516628,0.2508531148601199,1.1636562033527722,3.555402472841198
SKIN23,56.33599999999999,0.01893586367292906,0.026712384931040643,0.020012366088502476,9.44764569824579,16.97006989050134,13.912146960109139
SKIN24,52.589999999999996,0.024675529354077547,0.03846388871917947,0.02645479344503004,11.084019725770183,23.34771610275085,15.706677750094215
SKIN25,22.1425,0.01207570959684858,0.028976775517506465,0.02208857798634675,2.487513800128016,6.932854730676574,12.539992418548294
SKIN26,-0.504,0.013920608215007449,0.023950561030400497,0.02049367235379147,2.0364373081977374,4.367371916730566,6.2674193406697185
SKIN29,-18.738,0.016913434469570193,0.021086287827873987,0.016484538088691967,1.1805201352453982,3.322947754776621,8.268598023498521
SKIN31,-25.389999999999997,0.002640249262018913,0.0025329583055446257,0.0021422343818740795,0.32464850236937304,0.4226193984970934,1.5869464672604963
SKIN32,2.946,0.014311567374509981,0.01648705709675517,0.013543718725330176,1.3805947806243493,3.6081834245676823,8.37376024103938
SKIN35,-35.45333333333333,0.013177887694200327,0.02540779125334194,0.02147483719190139,1.1524089910795998,3.46263021747635,10.73865149756631
SKIN38,-42.13,0.007441568546630748,0.03082359903768747,0.030207788859847772,0.9403817746987286,4.133017253569098,16.80770404734892
SKIN39,-39.06666666666666,0.009226629384448938,0.009963295577614788,0.007572640971473229,0.7474380832291901,1.0280433876035815,1.9157223264809138
SKIN40,-42.056666666666665,0.014663683221944378,0.013609658245513708,0.008837952966201235,0.7948474853470531,1.14754047184771,3.718999659070228
SKIN41,-34.974000000000004,0.0033713943412868905,0.005896035557587716,0.004554056155869439,0.6483906941667622,0.8203320965301036,2.469210159464307
SKIN42,-19.218,0.009052608287433187,0.015057068609007273,0.011641441460925042,1.593707578887449,2.899828099508612,7.306536847195173
SKIN43,-3.536,0.005237247104780189,0.01431585548050964,0.012316106874268684,1.3840733261426479,3.673915377827599,9.047337063144854
