,SkinID,Label,ITA,Wavelengths,Max,Min,FractionClipped,AnyClipping
70,SKIN02,Neck,38.54,910,2431.0,1774.4,0.0,0.0
83,SKIN02,Leg,54.89,910,2432.5555555555557,1840.3333333333333,0.0,0.0
96,SKIN02,Forearm,47.056,910,2471.777777777778,1679.111111111111,0.0,0.0
58,SKIN02,Bicep,56.25599999999999,930,2538.777777777778,1707.7777777777778,0.0,0.0
71,SKIN02,Neck,38.54,930,2543.1,1792.2,0.0,0.0
84,SKIN02,Leg,54.89,930,2556.4444444444443,1857.7777777777778,0.0,0.0
97,SKIN02,Forearm,47.056,930,2634.5555555555557,1654.888888888889,0.0,0.0
59,SKIN02,Bicep,56.25599999999999,950,2353.777777777778,1850.2222222222222,0.0,0.0
72,SKIN02,Neck,38.54,950,2396.2,1775.9,0.0,0.0
85,SKIN02,Leg,54.89,950,2374.3333333333335,1842.111111111111,0.0,0.0
98,SKIN02,Forearm,47.056,950,2397.5555555555557,1776.2222222222222,0.0,0.0
60,SKIN02,Bicep,56.25599999999999,980,2355.5555555555557,1856.888888888889,0.0,0.0
73,SKIN02,Neck,38.54,980,2462.2,1780.8,0.0,0.0
86,SKIN02,Leg,54.89,980,2482.777777777778,1839.7777777777778,0.0,0.0
99,SKIN02,Forearm,47.056,980,2506.8888888888887,1781.5555555555557,0.0,0.0
61,SKIN02,Bicep,56.25599999999999,1030,2332.6666666666665,1903.888888888889,0.0,0.0
74,SKIN02,Neck,38.54,1030,2329.6,1911.2,0.0,0.0
87,SKIN02,Leg,54.89,1030,2340.777777777778,1947.111111111111,0.0,0.0
100,SKIN02,Forearm,47.056,1030,2333.4444444444443,1903.3333333333333,0.0,0.0
62,SKIN02,Bicep,56.25599999999999,1080,2293.5555555555557,1946.6666666666667,0.0,0.0
75,SKIN02,Neck,38.54,1080,2300.6,1946.4,0.0,0.0
88,SKIN02,Leg,54.89,1080,2301.777777777778,1970.2222222222222,0.0,0.0
101,SKIN02,Forearm,47.056,1080,2302.0,1940.5555555555557,0.0,0.0
63,SKIN02,Bicep,56.25599999999999,1100,2298.6666666666665,1954.111111111111,0.0,0.0
76,SKIN02,Neck,38.54,1100,2299.0,1949.8,0.0,0.0
89,SKIN02,Leg,54.89,1100,2309.6666666666665,1966.2222222222222,0.0,0.0
102,SKIN02,Forearm,47.056,1100,2310.5555555555557,1960.111111111111,0.0,0.0
64,SKIN02,Bicep,56.25599999999999,1210,2581.3333333333335,1715.0,0.0,0.0
77,SKIN02,Neck,38.54,1210,2607.0,1783.8,0.0,0.0
90,SKIN02,Leg,54.89,1210,2599.3333333333335,1835.3333333333333,0.0,0.0
103,SKIN02,Forearm,47.056,1210,2712.5555555555557,1710.6666666666667,0.0,0.0
104,SKIN03,Bicep,49.412,700,2666.777777777778,1157.7777777777778,0.0,0.0
117,SKIN03,Neck,17.108,700,3904.3333333333335,0.0,3.340550873907615e-05,1.0
130,SKIN03,Leg,31.6,700,4002.222222222222,12.333333333333334,3.0479478776529335e-05,0.8888888888888888
143,SKIN03,Forearm,34.736000000000004,700,3237.5555555555557,667.3333333333334,2.4383583021223475e-07,0.1111111111111111
105,SKIN03,Bicep,49.412,730,2587.0,1267.4444444444443,0.0,0.0
118,SKIN03,Neck,17.108,730,3631.3333333333335,42.22222222222222,4.145209113607991e-06,0.5555555555555556
131,SKIN03,Leg,31.6,730,3841.3333333333335,102.0,3.169865792759051e-06,0.3333333333333333
144,SKIN03,Forearm,34.736000000000004,730,3094.222222222222,889.7777777777778,0.0,0.0
106,SKIN03,Bicep,49.412,760,2465.6666666666665,1492.111111111111,0.0,0.0
119,SKIN03,Neck,17.108,760,3165.777777777778,579.2222222222222,0.0,0.0
132,SKIN03,Leg,31.6,760,3329.777777777778,670.1111111111111,0.0,0.0
145,SKIN03,Forearm,34.736000000000004,760,2820.0,1249.0,0.0,0.0
107,SKIN03,Bicep,49.412,800,2415.0,1676.0,0.0,0.0
120,SKIN03,Neck,17.108,800,2895.222222222222,1025.3333333333333,0.0,0.0
133,SKIN03,Leg,31.6,800,2997.777777777778,1122.111111111111,0.0,0.0
146,SKIN03,Forearm,34.736000000000004,800,2707.222222222222,1489.888888888889,0.0,0.0
108,SKIN03,Bicep,49.412,850,2371.3333333333335,1681.2222222222222,0.0,0.0
121,SKIN03,Neck,17.108,850,2614.0,1497.4444444444443,0.0,0.0
134,SKIN03,Leg,31.6,850,2642.8888888888887,1489.5555555555557,0.0,0.0
147,SKIN03,Forearm,34.736000000000004,850,2636.1111111111113,1718.888888888889,0.0,0.0
109,SKIN03,Bicep,49.412,910,2422.6666666666665,1687.3333333333333,0.0,0.0
122,SKIN03,Neck,17.108,910,2421.3333333333335,1713.4444444444443,0.0,0.0
135,SKIN03,Leg,31.6,910,2444.222222222222,1703.6666666666667,0.0,0.0
148,SKIN03,Forearm,34.736000000000004,910,2532.1111111111113,1744.888888888889,0.0,0.0
110,SKIN03,Bicep,49.412,930,2524.0,1694.111111111111,0.0,0.0
123,SKIN03,Neck,17.108,930,2550.777777777778,1709.0,0.0,0.0
136,SKIN03,Leg,31.6,930,2561.0,1740.3333333333333,0.0,0.0
149,SKIN03,Forearm,34.736000000000004,930,2535.3333333333335,1753.6666666666667,0.0,0.0
111,SKIN03,Bicep,49.412,950,2364.8888888888887,1776.4444444444443,0.0,0.0
124,SKIN03,Neck,17.108,950,2376.222222222222,1815.888888888889,0.0,0.0
137,SKIN03,Leg,31.6,950,2417.777777777778,1770.111111111111,0.0,0.0
150,SKIN03,Forearm,34.736000000000004,950,2447.6666666666665,1827.111111111111,0.0,0.0
112,SKIN03,Bicep,49.412,980,2369.8888888888887,1825.2222222222222,0.0,0.0
125,SKIN03,Neck,17.108,980,2440.5555555555557,1836.0,0.0,0.0
138,SKIN03,Leg,31.6,980,2504.5555555555557,1795.888888888889,0.0,0.0
151,SKIN03,Forearm,34.736000000000004,980,2449.777777777778,1870.5555555555557,0.0,0.0
113,SKIN03,Bicep,49.412,1030,2320.1111111111113,1878.7777777777778,0.0,0.0
126,SKIN03,Neck,17.108,1030,2327.1111111111113,1911.6666666666667,0.0,0.0
139,SKIN03,Leg,31.6,1030,2328.8888888888887,1914.7777777777778,0.0,0.0
152,SKIN03,Forearm,34.736000000000004,1030,2358.8888888888887,1892.7777777777778,0.0,0.0
114,SKIN03,Bicep,49.412,1080,2298.222222222222,1944.3333333333333,0.0,0.0
127,SKIN03,Neck,17.108,1080,2293.777777777778,1960.3333333333333,0.0,0.0
140,SKIN03,Leg,31.6,1080,2301.4444444444443,1953.2222222222222,0.0,0.0
153,SKIN03,Forearm,34.736000000000004,1080,2328.1111111111113,1940.111111111111,0.0,0.0
115,SKIN03,Bicep,49.412,1100,2302.777777777778,1953.3333333333333,0.0,0.0
128,SKIN03,Neck,17.108,1100,2313.222222222222,1957.3333333333333,0.0,0.0
141,SKIN03,Leg,31.6,1100,2304.777777777778,1951.3333333333333,0.0,0.0
154,SKIN03,Forearm,34.736000000000004,1100,2307.6666666666665,1961.888888888889,0.0,0.0
116,SKIN03,Bicep,49.412,1210,2591.4444444444443,1768.2222222222222,0.0,0.0
129,SKIN03,Neck,17.108,1210,2576.6666666666665,1796.2222222222222,0.0,0.0
142,SKIN03,Leg,31.6,1210,2583.1111111111113,1823.111111111111,0.0,0.0
155,SKIN03,Forearm,34.736000000000004,1210,2542.8888888888887,1795.7777777777778,0.0,0.0
156,SKIN04,Bicep,41.098,700,2898.1111111111113,771.7777777777778,0.0,0.0
169,SKIN04,Neck,30.57,700,3508.6666666666665,98.0,1.0241104868913857e-05,0.4444444444444444
182,SKIN04,Leg,38.988,700,3785.6666666666665,50.44444444444444,1.1704119850187266e-05,0.5555555555555556
195,SKIN04,Forearm,33.892,700,3584.6666666666665,295.22222222222223,0.0,0.0
157,SKIN04,Bicep,41.098,730,2791.222222222222,963.1111111111111,0.0,0.0
170,SKIN04,Neck,30.57,730,3278.777777777778,278.3333333333333,2.1945224719101126e-06,0.3333333333333333
183,SKIN04,Leg,38.988,730,3618.1111111111113,179.88888888888889,4.876716604244695e-07,0.2222222222222222
196,SKIN04,Forearm,33.892,730,3399.1111111111113,536.4444444444445,0.0,0.0
158,SKIN04,Bicep,41.098,760,2583.222222222222,1264.6666666666667,0.0,0.0
171,SKIN04,Neck,30.57,760,2903.5555555555557,757.6666666666666,0.0,0.0
184,SKIN04,Leg,38.988,760,3206.4444444444443,657.0,0.0,0.0
197,SKIN04,Forearm,33.892,760,3064.1111111111113,973.5555555555555,0.0,0.0
159,SKIN04,Bicep,41.098,800,2490.8888888888887,1501.7777777777778,0.0,0.0
172,SKIN04,Neck,30.57,800,2729.777777777778,1182.0,0.0,0.0
185,SKIN04,Leg,38.988,800,2940.777777777778,1053.0,0.0,0.0
198,SKIN04,Forearm,33.892,800,2842.1111111111113,1300.888888888889,0.0,0.0
160,SKIN04,Bicep,41.098,850,2382.4444444444443,1721.888888888889,0.0,0.0
173,SKIN04,Neck,30.57,850,2456.0,1548.5555555555557,0.0,0.0
186,SKIN04,Leg,38.988,850,2629.5555555555557,1452.888888888889,0.0,0.0
199,SKIN04,Forearm,33.892,850,2607.222222222222,1618.888888888889,0.0,0.0
161,SKIN04,Bicep,41.098,910,2425.5555555555557,1733.7777777777778,0.0,0.0
174,SKIN04,Neck,30.57,910,2433.3333333333335,1668.3333333333333,0.0,0.0
