,ITA,SSIM
13,64.518,0.999975840250651
14,64.518,0.9999762376149496
15,64.518,0.9999769528706869
16,64.518,0.9999762376149496
17,64.518,0.9999768733978271
18,64.518,0.9999801317850748
19,64.518,0.9999790986378988
20,64.518,0.9999776681264242
21,64.518,0.9999736150105795
22,64.518,0.9999756813049316
23,64.518,0.9999775886535645
24,64.518,0.9999691645304362
25,64.518,0.9999715487162272
65,47.056,0.9999841054280599
66,47.056,0.999982992808024
67,47.056,0.9999824364980062
68,47.056,0.9999804496765137
69,47.056,0.9999808470408121
70,47.056,0.9999790191650391
71,47.056,0.9999767144521078
72,47.056,0.999978224436442
73,47.056,0.9999756813049316
74,47.056,0.9999755223592123
75,47.056,0.9999764760335287
76,47.056,0.9999764760335287
77,47.056,0.9999790191650391
117,34.736000000000004,0.9999839464823405
118,34.736000000000004,0.9999830722808838
119,34.736000000000004,0.9999829133351644
120,34.736000000000004,0.9999842643737793
121,34.736000000000004,0.9999833901723226
122,34.736000000000004,0.9999821980794271
123,34.736000000000004,0.9999778270721436
124,34.736000000000004,0.999980608622233
125,34.736000000000004,0.9999774297078451
126,34.736000000000004,0.999976634979248
127,34.736000000000004,0.9999779065450033
128,34.736000000000004,0.9999756018320719
129,34.736000000000004,0.9999673366546631
169,33.892,0.9999818007151285
170,33.892,0.9999798933664957
171,33.892,0.999976634979248
172,33.892,0.9999823570251465
173,33.892,0.9999812444051107
174,33.892,0.9999703566233317
175,33.892,0.9999663035074869
176,33.892,0.9999727408091227
177,33.892,0.9999664624532064
178,33.892,0.9999656677246094
179,33.892,0.9999666213989258
180,33.892,0.9999608198801676
181,33.892,0.9999643166859945
221,48.432,0.999982754389445
222,48.432,0.9999821980794271
223,48.432,0.9999821980794271
224,48.432,0.9999816417694092
225,48.432,0.9999796549479166
226,48.432,0.9999779065450033
227,48.432,0.9999759991963705
228,48.432,0.9999774297078451
229,48.432,0.9999731381734213
230,48.432,0.9999740918477377
231,48.432,0.9999748865763346
232,48.432,0.9999733765920004
233,48.432,0.9999709129333496
273,25.806,0.9999779065450033
274,25.806,0.9999759991963705
275,25.806,0.9999759991963705
276,25.806,0.999975840250651
277,25.806,0.9999752044677734
278,25.806,0.9999722639719645
279,25.806,0.9999723434448242
280,25.806,0.99997345606486
281,25.806,0.9999695618947347
282,25.806,0.9999705155690511
283,25.806,0.9999705950419108
