,Wavelength (nm),PA signal Fitzpatrick 1,PA signal Fitzpatrick 2,PA signal Fitzpatrick 3,PA signal Fitzpatrick 4,PA signal Fitzpatrick 5,PA signal Fitzpatrick 6,Vitiligo
0,700.0,0.024981445729569653,0.027615786216824978,0.02505783162662284,0.028387568344018344,0.026143360352393497,0.027810006361816093,0.028771649811113336
1,730.0,0.0287145414460293,0.030556713406936702,0.02815647144849381,0.031981105118040705,0.02802339690881983,0.029435675572071565,0.03293566778811627
2,760.0,0.03292299045271783,0.03447554707905329,0.032307690248449226,0.037429855916020716,0.03167571996846447,0.030217475337218837,0.036360162974731026
3,800.0,0.039889472850816426,0.03995214199668231,0.038317861559158575,0.046521007992976086,0.03561376662534744,0.03312525491560569,0.04322151061992552
4,850.0,0.04315579021438296,0.04310253870990342,0.040802347837718744,0.05110334209772398,0.03821346659059828,0.034321583182358326,0.04782591757483151
5,910.0,0.038895767134117215,0.039355516352978716,0.036462001440869946,0.04646933222377721,0.036558739508142604,0.031374516985849935,0.04287732661779728
6,930.0,0.03497495797928142,0.035617702380523766,0.0321023954741832,0.04174101431404379,0.0330095431277775,0.027255573434048108,0.037607768247610765
7,950.0,0.0357991152832159,0.035339086472050724,0.03244508408837497,0.043799997633455726,0.03374448516482188,0.0288283823334107,0.04018786701402437
8,980.0,0.03153239828327538,0.03163723718771884,0.027757381825875106,0.03816640161810907,0.029744452116747637,0.024502835645231293,0.03631953860103627
9,1030.0,0.03220550981318009,0.03162115478418833,0.028472668500941923,0.03832712348068949,0.029733854081373426,0.025545027694638928,0.03554908921221711
10,1080.0,0.029356604635415326,0.029432396715579748,0.026849648712984217,0.03375387333844762,0.027685949422855245,0.02465167498078999,0.03401252274271113
11,1100.0,0.025180356523602676,0.025731144083613756,0.02376965467036398,0.029193300598377533,0.023086667171653755,0.020928745820874492,0.029084448273429743
