,Wavelength (nm),PA signal Fitzpatrick 1,PA signal Fitzpatrick 2,PA signal Fitzpatrick 3,PA signal Fitzpatrick 4,PA signal Fitzpatrick 5,PA signal Fitzpatrick 6,Vitiligo
0,700.0,0.0011537662167344477,0.0009975972033886297,0.00133089538549585,0.0023778824693986146,0.0027848563063925104,0.0037428372234035814,0.0009550154050501083
1,730.0,0.0010282950701287544,0.0008648415025026968,0.0011826456733255572,0.002025704268052366,0.0024550050827826927,0.003357441736110742,0.0008250727393351962
2,760.0,0.0009759037810950799,0.0007518631179161903,0.0010731406627718257,0.001835715863920864,0.0021010347422615845,0.002931841642283854,0.0007310213874817566
3,800.0,0.0009658995746951598,0.0007916973966892298,0.0010234436406948984,0.0016961229974622614,0.0018763531245166876,0.0023278572114814036,0.0007979080115425613
4,850.0,0.0009276825083929599,0.0007242962557892449,0.0009733316854338709,0.0014349052225110215,0.0014561617474309137,0.0017985049468509772,0.0007556734042765223
5,910.0,0.0006560928732244504,0.0005510500354873613,0.0007979059004894729,0.0009782706644234462,0.0009245591900487215,0.0014777979676626374,0.000542242488150177
6,930.0,0.0006898082210245865,0.0006525103782062886,0.0008228604408609309,0.0010473962104881698,0.0008752197448157633,0.0015500011682715088,0.0006882604866152099
7,950.0,0.0006892012077417808,0.0006035009770180806,0.0007369954373824148,0.0010464577806095312,0.0010298159277763747,0.0012936366977593676,0.0005760664710205025
8,980.0,0.0007005794087718839,0.0007071198435147954,0.0006847063494765917,0.0009673258353814552,0.0010260321908559355,0.0011975955573746734,0.000657265915089938
9,1030.0,0.0006386911102455551,0.0006768738211774547,0.0006814191678954398,0.0007396530576016253,0.0007381349784702482,0.0010476019505848359,0.0006299587293299535
10,1080.0,0.0006561485643877421,0.0006494652101303788,0.0006972949283593505,0.0007738075510574857,0.0007311811852528873,0.00100755907829583,0.0005951746624457664
11,1100.0,0.0006845499139370528,0.0006704841830499831,0.0007361341032177705,0.0008262952164762564,0.0007909090013342006,0.000986352403543616,0.0006049415296057618
