MVF,WL,MVF,WL,Fluence,Compare Fluence,Normalised,Normalised Baseline
0.02,700.0,0.02,700.0,1.8435136e-05,0.9810005182052127,1.0,1.0
0.02,750.0,0.02,750.0,1.9283123e-05,0.9850458569905223,1.0,1.0
0.02,800.0,0.02,800.0,1.9895047e-05,0.9880512899083917,1.0,1.0
0.02,850.0,0.02,850.0,2.0272131e-05,0.9903246233995346,1.0,1.0
0.02,900.0,0.02,900.0,2.083986e-05,0.9920719284122042,1.0,1.0
0.0364112840605216,700.0,0.0364112840605216,700.0,1.6664597e-05,0.9656801641113848,0.9039584519474118,0.9843829296626089
0.0364112840605216,750.0,0.0364112840605216,750.0,1.7790353e-05,0.9729422092121588,0.9225867096320445,0.9877126047559429
0.0364112840605216,800.0,0.0364112840605216,800.0,1.8629482e-05,0.9783533251935602,0.9363879361531541,0.9901847557774752
0.0364112840605216,850.0,0.0364112840605216,850.0,1.9223244e-05,0.9824553199795056,0.9482596575564749,0.9920538142402078
0.0364112840605216,900.0,0.0364112840605216,900.0,1.9948815e-05,0.9856134076967641,0.9572432348393894,0.993489866479967
0.0662890803467997,700.0,0.0662890803467997,700.0,1.4246951e-05,0.938400149764668,0.7728150744317807,0.9565745709100296
0.0662890803467997,750.0,0.0662890803467997,750.0,1.5645404e-05,0.9512873031695516,0.811352186054095,0.9657289520265496
0.0662890803467997,800.0,0.0662890803467997,800.0,1.6736562e-05,0.9609412971579017,0.8412426469764058,0.972562160459298
0.0662890803467997,850.0,0.0662890803467997,850.0,1.7598679e-05,0.9682889475761122,0.8681218072239174,0.9777490377369599
0.0662890803467997,900.0,0.0662890803467997,900.0,1.8533055e-05,0.973963016850943,0.8893080375779876,0.9817463723721684
0.1206835267309032,700.0,0.1206835267309032,700.0,1.135978e-05,0.8906984689367968,0.6162026686431822,0.9079490300029323
0.1206835267309032,750.0,0.1206835267309032,750.0,1.2915992e-05,0.9130930935208571,0.6698081011047846,0.9269549098054249
0.1206835267309032,800.0,0.1206835267309032,800.0,1.41993205e-05,0.9300333430203109,0.7137113322728014,0.941280429993204
0.1206835267309032,850.0,0.1206835267309032,850.0,1.5314088e-05,0.9430205522365545,0.7554256629458442,0.9522337725981231
0.1206835267309032,900.0,0.1206835267309032,900.0,1.646685e-05,0.9531051674790032,0.7901612582810057,0.9607218389945106
0.2197121086612235,700.0,0.2197121086612235,700.0,8.36649e-06,0.8099934788489624,0.45383391801394896,0.8256809897826396
0.2197121086612235,750.0,0.2197121086612235,750.0,9.893913e-06,0.8474520367247051,0.51308665095379,0.8603173453404607
0.2197121086612235,800.0,0.2197121086612235,800.0,1.122659e-05,0.8762933807586958,0.5642907000923395,0.8868905791722029
0.2197121086612235,850.0,0.2197121086612235,850.0,1.2481289e-05,0.8986987385429022,0.6156870730561084,0.907478939035057
0.2197121086612235,900.0,0.2197121086612235,900.0,1.3780513e-05,0.9162722444560434,0.6612574652612829,0.923594568311718
0.3999999999999999,700.0,0.3999999999999999,700.0,5.6115246e-06,0.6813727106489608,0.30439290493978455,0.6945691648517828
0.3999999999999999,750.0,0.3999999999999999,750.0,6.9539587e-06,0.739824952481057,0.3606240908176544,0.7510563566465264
0.3999999999999999,800.0,0.3999999999999999,800.0,8.1870685e-06,0.7863027407365029,0.41151290067321783,0.7958116635922876
0.3999999999999999,850.0,0.3999999999999999,850.0,9.420395e-06,0.8232875527186783,0.46469682935651907,0.8313309931571122
0.3999999999999999,900.0,0.3999999999999999,900.0,1.0727058e-05,0.8528314762809205,0.5147375270275327,0.8596468177926011
